pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Cyclin E associated events during G1/S transition 	0.000352535854498838	0.00264199284061198	0.528310833660701	1.98418861348007	21	52	12428|54124|12575|12448|22390|12567|17463|19645|26440|26444|19179|17420|228769|26445|11651|57296|19170|67151|12447|26442|19177|66671|23996|26965|19192
DNA Damage Bypass	0.000364969558220939	0.00270409263590969	0.581422000387421	2.03066645488945	21	37	68026|69263|76843|68240|72151|58206|106344|19891|27015|19687|18972|80905|69745|18538|58186|13194|22230|217365|18971|19718
Fatty acid metabolism	0.000430829569764678	0.00315618965715247	0.431742439716658	1.82301065002712	28	99	20250|11363|70025|68041|74114|50790|17164|13167|216739|27384|20249|170439|622402|13358|26378|18559|56473|234309|433256|94180|19063|23986|72482|11409|64292|73724|14104|30963|330260|11690|56794|110959|54325|13177|15107|76267|269823|110821
Termination of translesion DNA synthesis	0.000503857113072486	0.00365016486359179	0.653723003217603	2.0476967846096	28	23	68026|69263|68240|72151|106344|19891|27015|19687|18972|80905|69745|18538|18971|19718
Translesion Synthesis by POLH	0.000556622914908516	0.00398811143428959	0.711468403381811	2.03446356397381	30	16	69263|68240|72151|106344|19891|19687|80905|18538|22230|217365|19718
Extracellular matrix organization	0.000610340918999041	0.00432545955638451	0.409302910063501	1.77939678338709	41	119	16776|26432|18452|12505|11492|12215|16404|12334|16412|11501|16410|20750|14114|18550|16998|214639|56693|21809|13518|18451|21803|18453|20971|16423
Metabolism of vitamins and cofactors	0.000852935895133776	0.00587782856905726	0.425565821318463	1.78187778820267	56	94	20527|18563|12494|14187|20525|116914|13361|14733|27384|622402|59027|72621|23959|18605|15926|108037|54391|20971|225994|270685|56075|67861|17252|109754|14104|67795|69698|268566|12182|109129|73132|71743|66454|54219|110821|246703
Cellular responses to stress	0.000856432076779815	0.00587782856905726	0.353942668665849	1.6451396986944	62	192	112407|50527|14958|12571|12428|12580|12575|15251|17684|12448|66156|14056|68240|22166|17164|68612|14782|56371|17535|12567|19891|21672|12359|17463|26399|17970|19645|26417|66401|22627|26440|18453|26444|494448|13063|102626|19179|12579|12608|50493|228769|26445|11835|68097|14229|57296|19170|17246|67151|16906|12447|75430|26442|19177|245688|69590|20656|12343|17969|54683|110147
AURKA Activation by TPX2	0.000854565595822124	0.00587782856905726	0.487869215859763	1.87221875792937	53	58	15366|20878|20873|18005|72119|12534|18817|227613|67203|74470|75786|76816|22628|22627|17997|19088|103733|219072|66296|230376|16328|225659|78177|101565|22154
Transcriptional Regulation by TP53	0.000901482737278329	0.00612257025734866	0.346436633990531	1.62478263124774	66	206	12428|12649|20877|19053|52679|20878|12575|69263|12448|72119|12189|12534|237911|68240|230784|22166|72151|226830|106344|12905|108961|26909|268697|14782|17535|327762|12450|26931|19891|21672|14751|66508|52846|14885|66494|27374|26399|68705|27632|22628|225182|22627|54170|105787|23988|17420|50493|18538|11651|235559|17246|109270|12028|12144|68576|69260
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	0.000994413205807373	0.00661589194067763	0.708309554218236	1.99029788411061	54	15	107995|56150|66156|12236|68612|75430|22194|68999
Inactivation of APC/C via direct inhibition of the APC/C complex	0.000994413205807373	0.00661589194067763	0.708309554218236	1.99029788411061	54	15	107995|56150|66156|12236|68612|75430|22194|68999
Fatty acyl-CoA biosynthesis	0.00102491606290864	0.00674995225269125	0.666218073168751	1.98992130283794	57	19	20250|50790|216739|20249|170439|13358|234309|433256|94180|19063|14104|30963|54325
Resolution of D-loop Structures through Holliday Junction Intermediates	0.00106806318799635	0.00696377198573619	0.614299480071268	1.96350857739236	61	25	19361|19363|268465|12189|237911|19362|26909|17535|327762|225182|224008|12144|19364
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	0.00118184431596768	0.00762933162387054	0.492759997018056	1.85817235868942	73	53	107995|20877|20878|66156|18817|68612|56371|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|22194|23996|68999|19192
Downregulation of SMAD2/3:SMAD4 transcriptional activity	0.00130898914441761	0.00836726394274788	-0.645789937594646	-1.99924864849563	57	16	20185|22284|20602|19042|228839|83814|17128|17127|20481|20482|66313
DDX58/IFIH1-mediated induction of interferon-alpha/beta	0.00145316617817295	0.00919868299192975	-0.517131350160169	-1.92556922008812	58	32	19697|21929|56480|54123|11820|16150|54131|12914|18035|56489
Class A/1 (Rhodopsin-like receptors)	0.00148724902672674	0.00932390735986379	0.394428404180382	1.70415490546129	101	114	12772|12774|80901|58861|12766|14062|16952|16995|140795|19217|20304|70086|12773|233079|14064|75805|14767|19218|78826|20305
Regulation of TP53 Activity through Phosphorylation	0.00150205952491561	0.00932707438328548	0.454949104432807	1.8084796303998	96	70	12428|12649|20877|20878|69263|72119|12189|237911|68240|72151|106344|26909|17535|327762|19891|225182|105787|23988|235559|17246|12144
Cytosolic sensors of pathogen-associated DNA 	0.0016095598097793	0.0099003112827934	-0.529228269932185	-1.93947566194269	65	30	12387|19697|56480|20852|54123|11820|20821|16150|54131|12914|18035
TP53 Regulates Transcription of Cell Cycle Genes	0.00173491823553662	0.0105716513043914	0.595398838641711	1.9193248813201	100	26	12428|52679|20878|12575|12448|12534|108961|268697|52846|18538|12028|12447|12532|58184
HATs acetylate histones	0.00175947265382995	0.0106220015768253	-0.507434963479149	-1.90406893861293	70	33	140858|11909|69386|108155|77853|226976|76719|66262|67773|78783|17978|54169|17977|97114|15077|69612|244349|319190|74026
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	0.00194098717926889	0.0115991950589719	0.574746401695944	1.89977941546727	113	29	68026|69263|68240|72151|106344|19891|27015|19687|18972|80905|69745|18538|22230|217365|18971|19718
GPCR ligand binding	0.00195691941178973	0.0115991950589719	0.365677999463411	1.63595150354586	137	145	12772|12774|80901|58861|12766|14062|16952|16995|140795|19217|14696|14702|14700|20304|70086|12773|233079|14064|75805|66066|14767|19218|78826|20305|14697
Deadenylation of mRNA	0.00225112556278139	0.0132228276300312	-0.619228973431483	-1.95079446741723	98	17	72068|231464|103135|234594|78893|13682|214290|72587
SCF(Skp2)-mediated degradation of p27/p21	0.00227542379768232	0.0132462171079364	0.502564317185719	1.83343588934684	139	45	12428|54124|12575|12448|12567|17463|26440|26444|19179|228769|26445|57296|19170|67151|12447|26442|19177|23996|26965|19192|22190|19172|23997|27401|19166
Resolution of D-Loop Structures	0.00235330493335166	0.0135448705715551	0.588681621274997	1.89767129117441	136	26	19361|19363|268465|12189|237911|19362|26909|17535|327762|225182|224008|12144|19364
The role of GTSE1 in G2/M progression after G2 checkpoint	0.00236827491588541	0.0135448705715551	0.508823304692226	1.83768884339508	144	43	12442|12575|12534|18817|268697|29870|17463|26440|26444|19179|228769|26445|57296|19170|67151|26442|19177
Elastic fibre formation	0.00252694822406786	0.0142031917421745	0.635727842309029	1.89885028216205	142	19	16412|16410|14114|18550|16998|21809|21803
Signaling by TGF-beta Receptor Complex	0.00251513007938379	0.0142031917421745	-0.438816653106023	-1.80007903090467	95	48	21813|228839|170749|20683|17131|93836|83814|12402|17128|17127|72949|20481|56424|12455|20482|66313|102098
Antigen processing-Cross presentation	0.00273101862203341	0.0152190097569725	0.473481537866216	1.78547429039887	170	53	16410|17463|17970|12491|26440|22319|20619|26444|19179|228769|26445|57296|19170|20333|67151|21355|26442|22320|19177|14827|17969|12317|23996
G1/S DNA Damage Checkpoints	0.00288105142191218	0.0159190298905656	0.488545503993863	1.79887935895071	177	47	12428|12649|12575|12448|17463|26440|26444|19179|228769|26445|57296|19170|17246|67151|50883|12447|26442|19177
Kinesins	0.00314151078109382	0.0172123111703628	0.648181519354276	1.88260914628446	175	17	73804|26934|228421|110033|16551|229841|16571|16579|16568|71819|16563
APC/C:Cdc20 mediated degradation of Cyclin B	0.0032129087533914	0.01745680422676	0.647585656199916	1.88087849307878	179	17	107995|12534|66156|68612|268697|75430|22194|68999
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	0.00324350688940373	0.0174774090238945	-0.506453525694146	-1.85601250499095	132	30	228839|20683|17131|93836|83814|17128|17127|72949|20481|12455|20482|66313
HDMs demethylate histones	0.00348580778259942	0.0186290711004493	-0.541595521751522	-1.87345004355727	146	24	69386|320595|20591|193796|225876|277250|75605|216850|97114|15077|18676|22290|20592|71371|338523
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	0.00365921983332166	0.0193968400920791	0.606533069269907	1.85682619222154	208	21	19361|19363|12189|237911|19362|26909|17535|327762|225182|12144|19364
Regulation of PLK1 Activity at G2/M Transition	0.00398721608539159	0.0209650394167364	0.432468196584535	1.71466497454632	256	69	12442|20878|20873|18005|12534|18817|227613|268697|67203|74470|75786|76816|22628|22627|17997|19088|103733|219072|66296|230376|16328|225659|78177|101565|16475|71648|22154
Effects of PIP2 hydrolysis	0.00437834300029339	0.0228374370895304	-0.605721754106532	-1.87520481160239	193	16	18753|56077|110524|18761|18755|66082|16440|104418|13139|16439
CDT1 association with the CDC6:ORC:origin complex	0.0049325449972234	0.0255239630015052	0.489498579909506	1.76789480918439	301	43	57441|23834|56452|66634|17463|26440|26444|19179|228769|26445|57296|19170|50793|18392|67151|26442|19177|23996|19192|22190|19172|23997
Antimicrobial peptides	0.00498984522725681	0.0256171581745783	0.598732910391573	1.83294696775285	284	21	12772|12774|72621|21946
Metabolism of water-soluble vitamins and cofactors	0.00505191817446994	0.0257332082012062	0.426887018355858	1.68435726936825	324	67	20527|18563|12494|20525|116914|13361|59027|72621|23959|18605|108037|54391|225994|270685|109754|14104|67795|69698|268566|12182|109129|73132|71743|66454|54219|110821|246703
Glutathione conjugation	0.00524038968803855	0.0264863106713266	0.605147614566439	1.83071897679493	297	20	14873|14866|211666|66054|66447|14872|13885|14854|68044|69065|14874|58810
Signaling by TGF-beta family members	0.00551845924617847	0.0276771956039105	-0.385956767753551	-1.67794890625862	199	63	21813|228839|170749|20683|17131|93836|83814|12402|17128|17125|110542|17127|72949|20481|56424|12455|11479|20482|66313|102098
Metabolism of steroids	0.00563410065857048	0.0280414780869309	0.396246869944977	1.63973627494317	372	88	110196|13121|71720|14187|20775|110460|208715|14137|207777|15357|235293|16987|27384|20788|66234|622402|319554|15490|68603|192156
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	0.00675337668834417	0.0333575878848515	-0.579194548993094	-1.82467160002642	296	17	59035|20185|20602|109151|17978|17977|229003|19014|20466|12914
Molecules associated with elastic fibres	0.00690775381979152	0.0336265774843295	0.622257766931506	1.80731497025529	386	17	16412|16410|14114|16998|21809|21803
Chemokine receptors bind chemokines	0.00691098371610453	0.0336265774843295	0.596444228268084	1.80438911268369	392	20	12772|12774|80901|12766|20304|12773
Cilium Assembly	0.00712405584802014	0.0344065512067343	0.350756916909494	1.55215895816805	497	134	56297|215445|20873|18005|12534|319845|18817|227613|67951|73916|76260|67203|74470|20336|67694|245866|75786|76816|22628|22627|56350|17997|67042|19088|53869|103733|16579|232987|219072|16568|68097|77048|76411|67286|11843|66296|230376|16328|225659|76568|78177|101565|217935|22154|71820|106840|72140|81896|19889
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	0.00732695660368468	0.0351262919529589	-0.522374062830045	-1.78829559662333	310	23	18519|97114|15077|69188|214162|12394|20466|231051|75410
Phosphorylation of the APC/C	0.00782874396571986	0.037257963982842	0.638623034985075	1.79448387743118	432	15	12534|66156|18817|68612|268697|75430|22194|68999
Peptide ligand-binding receptors	0.00791208107940061	0.0373817164041246	0.416223423937479	1.64228219562773	508	67	12772|12774|80901|12766|14062|16952|20304|12773|14064|75805|14767|20305|54199
Senescence-Associated Secretory Phenotype (SASP)	0.00812629054819157	0.0381175642979921	0.502334602300097	1.73284237912818	487	35	12571|12428|12580|12575|66156|68612|56371|12567|26417|12579|12608
Dual Incision in GG-NER	0.00873907615480649	0.0406991260923845	0.518294399481967	1.74123155615591	517	31	69263|68240|72151|106344|19891|27015|19687|22590|14885|18972|69745|18538|13194|18971|19718|99375|13870|209357|22190|67967|68275
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	0.00894971885226636	0.0411706185996009	0.634646569364229	1.78331030075941	494	15	107995|66156|68612|56371|75430|229776|22194|68999
Fanconi Anemia Pathway	0.00896660711831799	0.0411706185996009	0.543508589399477	1.75205171918944	521	26	268465|67196|68240|58206|211651|19891|69928|237211|100040608|67030|230484|13870|14087|22190|68275
Hemostasis	0.00913776646516067	0.0416631030439494	0.290186192000463	1.41673566903382	717	298	12306|12505|71946|16184|14062|16185|14389|22339|20720|12215|73804|26934|19363|234779|16412|11640|228421|19039|13449|56248|110033|21346|20501|11674|14702|13660|16551|57257|14733|229841|17319|19419|14127|109689|14682|20194|19073|21809|14676|13601|22330|80879|16188|26417|22041|21803|14064|15461|12491|13041|16453|16571|19128|19088|223864|20971|67059|16423|16579
ISG15 antiviral mechanism	0.00950635666017638	0.0427458244305862	-0.5548896839653	-1.77544420450204	414	18	19043|13682|286940|18803|230861|16451|54131|24110
Antiviral mechanism by IFN-stimulated genes	0.00950635666017638	0.0427458244305862	-0.5548896839653	-1.77544420450204	414	18	19043|13682|286940|18803|230861|16451|54131|24110
Organelle biogenesis and maintenance	0.00973088676402248	0.0428685011496125	0.33536630659212	1.50892354080912	690	151	56297|215445|20873|18005|12534|319845|18817|227613|67951|73916|76260|67203|74470|20336|67694|245866|75786|76816|11950|22628|22627|56350|17997|67042|19088|53869|103733|16579|13063|232987|219072|16568|68097|77048|76411|67286|11843|66296|230376|20656|16328|225659|76568|78177|64384|101565|217935|22154|71820|106840|72140|81896|19889|13427|11957|53413|107371
p53-Dependent G1 DNA Damage Response	0.00971931022152876	0.0428685011496125	0.463033890511834	1.68922250111635	597	45	12428|12575|12448|17463|26440|26444|19179|228769|26445|57296|19170|17246|67151|50883|12447|26442|19177
p53-Dependent G1/S DNA damage checkpoint	0.00971931022152876	0.0428685011496125	0.463033890511834	1.68922250111635	597	45	12428|12575|12448|17463|26440|26444|19179|228769|26445|57296|19170|17246|67151|50883|12447|26442|19177
ZBP1(DAI) mediated induction of type I IFNs	0.010404313874656	0.0455276016528571	-0.585310934819946	-1.7785444303825	464	15	69721|11596|18034|18036|17874|19697|11820|16150|54131|18035
SUMOylation of DNA replication proteins	0.0115654618609114	0.0499382856510878	0.503307629711706	1.70241511585062	686	32	52276|20877|21973|11799|18141|223921|72787|16319|69736|269113|18538
COPI-dependent Golgi-to-ER retrograde traffic	0.0115420507195364	0.0499382856510878	0.466132159914527	1.67552508530573	704	42	73804|26934|66111|228421|110033|16551|229841|76308|20932|16571|19324|16579|16568|66251|20333|11843|71819|16563
